Year,Genre,Recorded_sales_millions
1995,Sports,8.45
1995,Action,2.56
1995,Shooter,5.83
1995,Racing,4.08
1995,Role-Playing,4.82
1995,Fighting,9.47
1995,Adventure,0.64
1995,Platform,5.45
1996,Sports,16.19
1996,Action,7.24
1996,Shooter,8.19
1996,Racing,12.34
1996,Role-Playing,7.40
1996,Fighting,20.55
1996,Adventure,3.31
1996,Platform,1.39
1997,Sports,17.04
1997,Action,12.80
1997,Shooter,5.99
1997,Racing,13.55
1997,Role-Playing,5.27
1997,Fighting,9.54
1997,Adventure,9.92
1997,Platform,6.33
1998,Sports,37.84
1998,Action,13.97
1998,Shooter,6.30
1998,Racing,17.55
1998,Role-Playing,4.45
1998,Fighting,18.75
1998,Adventure,9.06
1998,Platform,7.51
1999,Sports,37.22
1999,Action,23.03
1999,Shooter,13.83
1999,Racing,26.76
1999,Role-Playing,7.06
1999,Fighting,12.55
1999,Adventure,7.47
1999,Platform,11.81
2000,Sports,42.10
2000,Action,26.06
2000,Shooter,8.93
2000,Racing,26.07
2000,Role-Playing,13.88
2000,Fighting,21.07
2000,Adventure,3.75
2000,Platform,3.73
2001,Sports,50.80
2001,Action,33.45
2001,Shooter,17.88
2001,Racing,31.08
2001,Role-Playing,11.19
2001,Fighting,9.47
2001,Adventure,14.64
2001,Platform,20.53
2002,Sports,64.30
2002,Action,62.75
2002,Shooter,46.63
2002,Racing,28.31
2002,Role-Playing,13.43
2002,Fighting,19.04
2002,Adventure,13.72
2002,Platform,30.67
2003,Sports,62.52
2003,Action,56.09
2003,Shooter,23.88
2003,Racing,45.70
2003,Role-Playing,17.36
2003,Fighting,15.07
2003,Adventure,8.88
2003,Platform,28.85
2004,Sports,59.02
2004,Action,35.31
2004,Shooter,34.93
2004,Racing,31.76
2004,Role-Playing,13.83
2004,Fighting,17.71
2004,Adventure,18.02
2004,Platform,31.91
2005,Sports,56.78
2005,Action,64.64
2005,Shooter,41.09
2005,Racing,36.31
2005,Role-Playing,10.70
2005,Fighting,14.65
2005,Adventure,17.70
2005,Platform,20.60
2006,Sports,45.78
2006,Action,44.00
2006,Shooter,24.51
2006,Racing,29.38
2006,Role-Playing,13.85
2006,Fighting,16.21
2006,Adventure,12.94
2006,Platform,9.26
2007,Sports,62.02
2007,Action,78.45
2007,Shooter,49.95
2007,Racing,33.93
2007,Role-Playing,23.26
2007,Fighting,14.56
2007,Adventure,19.84
2007,Platform,24.94
2008,Sports,96.57
2008,Action,76.87
2008,Shooter,59.48
2008,Racing,33.39
2008,Role-Playing,26.55
2008,Fighting,16.31
2008,Adventure,58.85
2008,Platform,27.36
2009,Sports,79.70
2009,Action,96.19
2009,Shooter,54.11
2009,Racing,37.25
2009,Role-Playing,26.00
2009,Fighting,26.58
2009,Adventure,40.59
2009,Platform,12.29
2010,Sports,82.63
2010,Action,85.79
2010,Shooter,77.95
2010,Racing,23.64
2010,Role-Playing,39.98
2010,Fighting,14.20
2010,Adventure,26.78
2010,Platform,6.22
2011,Sports,56.14
2011,Action,94.01
2011,Shooter,90.69
2011,Racing,27.82
2011,Role-Playing,47.13
2011,Fighting,22.65
2011,Adventure,19.58
2011,Platform,13.16
2012,Sports,50.51
2012,Action,27.27
2012,Shooter,69.66
2012,Racing,15.11
2012,Role-Playing,24.71
2012,Fighting,11.32
2012,Adventure,5.91
2012,Platform,8.43
2013,Sports,41.12
2013,Action,67.24
2013,Shooter,65.56
2013,Racing,9.36
2013,Role-Playing,5.24
2013,Fighting,7.59
2013,Adventure,0.74
2013,Platform,11.51
2014,Sports,45.17
2014,Action,56.52
2014,Shooter,61.18
2014,Racing,6.94
2014,Role-Playing,18.00
2014,Fighting,5.40
2014,Adventure,6.88
2014,Platform,7.38
2015,Sports,43.45
2015,Action,45.40
2015,Shooter,63.12
2015,Racing,7.72
2015,Role-Playing,24.26
2015,Fighting,8.74
2015,Adventure,6.62
2015,Platform,1.31
2016,Sports,45.62
2016,Action,26.53
2016,Shooter,62.38
2016,Racing,2.77
2016,Role-Playing,23.22
2016,Fighting,3.64
2016,Adventure,6.25
2016,Platform,3.51
2017,Sports,35.03
2017,Action,31.58
2017,Shooter,48.70
2017,Racing,11.37
2017,Role-Playing,19.14
2017,Fighting,5.18
2017,Adventure,7.81
2017,Platform,12.81
2018,Sports,27.16
2018,Action,17.03
2018,Shooter,21.17
2018,Racing,6.71
2018,Role-Playing,12.15
2018,Fighting,4.41
2018,Adventure,2.79
2018,Platform,7.66
